Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
25-11-2019,72.47619629,73.37404468,70.58074026,70.83014217,2544612
26-11-2019,73.42391968,74.52128654,71.62823052,71.62823052,20449066
27-11-2019,74.27186584,76.21720479,72.36843384,75.46899926,2049985
28-11-2019,77.96302795,78.32914668,73.82295529,76.21721482,2190220
29-11-2019,78.66133881,81.35488324,77.61385564,80.10787404,1708374
30-11-2019,,,,,
01-12-2019,,,,,
02-12-2019,78.31219482,80.7373786,75.81817588,75.81817588,1852522
03-12-2019,78.5615921,79.25991432,75.81817143,77.11506424,4648422
04-12-2019,77.81339264,78.81100024,75.12384341,78.81100024,1804018
05-12-2019,77.81339264,80.35729506,77.36447226,78.51171491,4652909
06-12-2019,77.81339264,79.01051871,77.31458884,77.81339264,3120341
07-12-2019,,,,,
08-12-2019,,,,,
09-12-2019,76.81578827,80.15777234,76.81578827,80.10789653,2569454
10-12-2019,79.06039429,79.06039429,75.75332299,77.36446458,3654742
11-12-2019,78.76110077,80.65655634,76.11744726,79.06038603,3989241
12-12-2019,78.06279755,79.11028861,77.31459182,78.81100327,3516703
13-12-2019,81.05560303,82.25272889,77.26469178,78.71122711,8378936
14-12-2019,,,,,
15-12-2019,,,,,
16-12-2019,80.55680847,81.80381789,77.21482475,77.21482475,3034514
17-12-2019,78.46183777,80.80621406,77.7635079,78.16255245,2344795
18-12-2019,78.71124268,79.90836877,77.51410897,77.76351087,6011177
19-12-2019,78.26230621,79.40955637,75.11984864,76.36685803,1756980
20-12-2019,77.81339264,79.25992061,75.21961441,77.81339264,37119125
21-12-2019,,,,,
22-12-2019,,,,,
23-12-2019,76.86566162,81.75393233,76.71601897,78.01290417,761278
24-12-2019,76.81578827,79.38263078,74.97021566,76.76590484,282898
25-12-2019,,,,,
26-12-2019,,,,,
27-12-2019,76.81578827,80.57976451,76.81578827,77.81339591,2974119
28-12-2019,,,,,
29-12-2019,,,,,
30-12-2019,75.66853333,77.31458735,74.87045183,76.81578356,1183607
31-12-2019,79.7587204,79.80860382,75.02008455,75.31936985,1428457
01-01-2020,,,,,
02-01-2020,78.61147308,80.45704541,76.2670894,76.2670894,1086111
03-01-2020,78.31219482,79.3098024,77.16494459,79.01051708,995180
04-01-2020,,,,,
05-01-2020,,,,,
06-01-2020,78.26230621,79.73278632,76.11745615,79.70884167,894623
07-01-2020,79.11027527,79.50931217,76.71601582,76.81577505,1073498
08-01-2020,77.56398773,78.51171187,77.01530053,78.36207682,814587
09-01-2020,77.41433716,77.81338166,72.5410226,77.81338166,763678
10-01-2020,75.46900177,78.66134242,75.46900177,76.61625181,643127
11-01-2020,,,,,
12-01-2020,,,,,
13-01-2020,74.82055664,78.54761803,73.89676967,76.81577148,962832
14-01-2020,74.67092133,75.74235692,74.67092133,74.82056398,1885496
15-01-2020,72.8253479,74.57116103,70.89198102,74.27187574,1462402
16-01-2020,68.68527222,73.74813465,66.39077962,72.27665756,4122517
17-01-2020,69.7327652,71.80878767,66.89656478,66.93946118,1588351
18-01-2020,,,,,
19-01-2020,,,,,
20-01-2020,69.83252716,73.47379617,68.7351604,73.47379617,889290
21-01-2020,70.6306076,71.5783316,69.53323337,69.83251863,945491
22-01-2020,72.72557831,73.3241412,69.08430991,69.08430991,1626068
23-01-2020,71.32892609,73.59449611,71.12940766,72.82533712,510011
24-01-2020,72.8253479,73.52367011,69.67290453,69.8824088,512962
25-01-2020,,,,,
26-01-2020,,,,,
27-01-2020,70.83014679,72.92512144,69.76170979,71.77787106,931193
28-01-2020,71.62822723,73.77307744,68.52566705,70.73037889,1021767
29-01-2020,72.42630768,73.62344132,70.8301371,70.8301371,803522
30-01-2020,73.42391968,74.77068845,71.77786557,74.1721254,940165
31-01-2020,72.8253479,76.46661682,72.12702569,76.46661682,681671
01-02-2020,,,,,
02-02-2020,,,,,
03-02-2020,72.42630768,73.67331713,70.33133331,70.33133331,1477469
04-02-2020,73.82295227,74.82055973,70.10187308,70.58072802,602479
05-02-2020,73.42391968,74.32176806,70.58073947,70.58073947,641248
06-02-2020,74.27186584,74.77066953,71.97737345,74.72079373,523501
07-02-2020,75.02008057,75.02008057,72.32654337,74.82056211,977275
08-02-2020,,,,,
09-02-2020,,,,,
10-02-2020,73.32415009,75.71840957,71.47857776,71.47857776,855607
11-02-2020,73.77307129,75.66852705,71.87762314,73.82295471,771049
12-02-2020,75.02008057,76.21721413,72.82534712,75.81816961,1102327
13-02-2020,75.26947784,78.16254092,74.07235197,78.16254092,1066938
14-02-2020,74.82055664,77.76349549,73.7730658,77.71361969,913127
15-02-2020,,,,,
16-02-2020,,,,,
17-02-2020,75.21960449,77.76349896,73.22438956,77.76349896,729046
18-02-2020,74.77068329,77.71363015,73.17451272,77.71363015,942746
19-02-2020,74.42153168,75.81818396,72.67571823,75.81818396,734623
20-02-2020,73.82295227,76.2172117,71.92749657,75.8181672,879287
21-02-2020,73.17451477,74.97021147,72.82535364,74.07236312,1424092
22-02-2020,,,,,
23-02-2020,,,,,
24-02-2020,71.47858429,74.9702108,71.47858429,71.87762884,657220
25-02-2020,69.83252716,72.57594787,68.83491963,72.57594787,1280270
26-02-2020,68.83491516,73.77306907,67.88719111,72.07713943,1183009
27-02-2020,66.34089661,69.63300429,64.8195437,68.83491528,1456885
28-02-2020,64.69483948,67.48814329,60.42009185,63.69723206,2150743
29-02-2020,,,,,
01-03-2020,,,,,
02-03-2020,63.49772263,67.68767133,61.7519094,66.59030454,783451
03-03-2020,62.79939651,66.69006371,61.55238707,66.69006371,1218325
04-03-2020,63.84688187,67.63779352,62.10106869,64.74473016,973162
05-03-2020,62.10106659,65.59269282,61.00369987,65.59269282,1058580
06-03-2020,59.85645294,63.37302107,58.85884539,60.85406049,2175889
07-03-2020,,,,,
08-03-2020,,,,,
09-03-2020,54.86841583,61.85166876,53.87080827,61.85166876,840656
10-03-2020,53.27224731,57.31255733,51.62619325,57.31255733,1163737
11-03-2020,49.88037872,55.76626493,48.76305931,55.76626493,1792021
